Name,Age,Tm,Lg_bat,G_bat,PA,AB,R_bat,H_bat,2B,3B,HR_bat,RBI,SB,CS,BB_bat,SO_bat,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_bat,SH,SF,IBB_bat,Pos_Summary,Bats,Lg_pit,W,L,W-L%,ERA,G_pit,GS,GF,CG,SHO,SV,IP,H_pit,R_pit,ER,HR_pit,BB_pit,IBB_pit,SO_pit,HBP_pit,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Throws,Tm_fld,Lg,G,GS_fld,CG_fld,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos_Summary_fld,Tm_cat,Lg_cat,G_cat,GS_cat,CG_cat,Inn_cat,Ch_cat,PO_cat,A_cat,E_cat,DP_cat,Fld%_cat,Rtot_cat,Rtot/yr_cat,Rctch,RF/9_cat,RF/G_cat,PB,WP_cat,SB_cat,CS_cat,CS%,Rk,Tm_app,Yrs,G_app,GS_app,Batting,Defense,P,C,1B,2B_app,3B_app,SS,LF,CF,RF,OF,DH,PH,PR,Primary_Pos_fld,rbi_per_g,clutch,bat_letter,hr_rate,hr_num_bat,triple_rate,triple_val,triple_num,speed_score,speed_rating,walk_rate,bb_num,k_rate,k_val,k_num,hbp_rate,hbp_num,hbp_val,hit_rate,batter_rating,BAA,pit_letter,IP_real,IE,bb_rate,bb_num_pit,k_rate_pit,k_val_pit,k_num_pit,hbp_rate_pit,hbp_val_pit,hbp_num_pit,WP_num,hr_rate_pit,gopher_ball,control_rate,PCN,hit_rate_pit,PPH,goph_lett_inn,bb_k_hbp,pitcher_rating
Jim Acker,27,TOT,MLB,21.0,28.0,28.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.107,0.107,0.14300000000000002,0.25,-33.0,4.0,0.0,0.0,0.0,0.0,0.0,1,R,MLB,5.0,12.0,0.294,4.01,44.0,19.0,9.0,0.0,0.0,0.0,155.0,163.0,81.0,69.0,13.0,48.0,6.0,69.0,3.0,1.0,5.0,661.0,102.0,3.96,1.361,9.5,0.8,2.8,4.0,1.44,R,TOT,ZZ,44.0,19.0,0.0,155.0,44.0,16.0,28.0,0.0,4.0,1.0,,,2.55,1.0,P,,,,,,,,,,,,,,,,,,,,,,,2,2TM,4,44,19,21,44,44,0,0,0,0,0,0,0,0,0,0,63,0,P,0.0,,E,0,,0,0,,0.0,,0,n,27,27,53,0,,0.0,4,E (n-53),0.26721311475409837,W,155.0,4,3.0,13,4.0,7.0,21,0,0.0,,[WP],0.07975460122699386,,12.0,46,9.0,54,W4,(13-21) ,W4 (13-21)  [WP]
Jim Acker,27,ATL,NL,21.0,28.0,28.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.107,0.107,0.14300000000000002,0.25,-33.0,4.0,0.0,0.0,0.0,0.0,0.0,1,R,NL,3.0,8.0,0.273,3.79,21.0,14.0,3.0,0.0,0.0,0.0,95.0,100.0,47.0,40.0,7.0,26.0,3.0,37.0,1.0,0.0,2.0,402.0,105.0,3.8,1.3259999999999998,9.5,0.7,2.5,3.5,1.42,R,TOT,ZZ,44.0,19.0,0.0,155.0,44.0,16.0,28.0,0.0,4.0,1.0,,,2.55,1.0,P,,,,,,,,,,,,,,,,,,,,,,,2,2TM,4,44,19,21,44,44,0,0,0,0,0,0,0,0,0,0,63,0,P,0.0,,E,0,,0,0,,0.0,,0,n,27,27,53,0,,0.0,4,E (n-53),0.26666666666666666,W,95.0,5,2.0,12,3.0,5.0,15,0,0.0,,,0.07,,11.0,51,9.0,54,W5,(12-15) ,W5 (12-15)  
Jim Adduci,26,MIL,AL,3.0,13.0,11.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.091,0.16699999999999998,0.182,0.348,-6.0,2.0,0.0,0.0,1.0,0.0,0.0,/3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIL,AL,3.0,3.0,3.0,24.2,28.0,25.0,3.0,0.0,1.0,1.0,0.0,-15.0,10.22,9.33,1B,,,,,,,,,,,,,,,,,,,,,,,3,MIL,2,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,64,0,1B,0.0,,E,0,,0,0,,0.0,,3,13,6,9,23,0,,0.0,3,E (13-23),,,,,,nan,,,nan,0,0.0,,,,,,nan,,nan,,,
Luis Aguayo,27,PHI,NL,62.0,146.0,133.0,17.0,28.0,6.0,1.0,4.0,13.0,1.0,1.0,8.0,26.0,0.211,0.267,0.361,0.628,70.0,48.0,3.0,3.0,0.0,2.0,0.0,46H/5,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHI,NL,52.0,30.0,22.0,300.2,152.0,57.0,90.0,5.0,19.0,0.967,-4.0,-17.0,4.4,2.83,2B-SS-3B,,,,,,,,,,,,,,,,,,,,,,,5,PHI,7,62,30,62,49,0,0,0,31,1,20,0,0,0,0,0,56,3,2B,0.20967741935483872,,C,5,15.0,1,6,(16),0.03571428571428571,,2,12,6,8,22,1,/23,9.0,7,C15(16) (12-22/23),,,,,,nan,,,nan,0,0.0,,,,,,nan,,nan,,,
Rick Aguilera,24,NYM,NL,32.0,57.0,51.0,4.0,8.0,0.0,0.0,2.0,6.0,0.0,0.0,3.0,12.0,0.157,0.204,0.275,0.478,32.0,14.0,0.0,0.0,3.0,0.0,0.0,1/H,R,NL,10.0,7.0,0.588,3.88,28.0,20.0,2.0,2.0,0.0,0.0,141.2,145.0,70.0,61.0,15.0,36.0,1.0,104.0,7.0,3.0,5.0,605.0,93.0,3.59,1.278,9.2,1.0,2.3,6.6,2.89,R,NYM,NL,28.0,20.0,2.0,141.2,39.0,13.0,26.0,0.0,1.0,1.0,,,2.48,1.39,P,,,,,,,,,,,,,,,,,,,,,,,6,NYM,2,32,20,32,28,28,0,0,0,0,0,0,0,0,0,0,62,0,P,0.1875,,D,9,23.0,0,0,,0.0,,2,12,8,10,24,0,,0.0,5,D23 (12-24),0.2580071174377224,W,141.66666666666663,5,2.0,12,6.0,8.0,22,0,0.0,,[WP],0.10344827586206896,+,11.0,51,9.0,54,+W5,(12-22) ,+W5 (12-22)  [WP]
Darrel Akerfelds,24,OAK,AL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,/1,R,AL,0.0,0.0,,6.75,2.0,0.0,2.0,0.0,0.0,0.0,5.1,7.0,5.0,4.0,2.0,3.0,1.0,5.0,0.0,0.0,2.0,26.0,61.0,7.46,1.875,11.8,3.4,5.1,8.4,1.67,R,OAK,AL,2.0,0.0,0.0,5.1,2.0,1.0,1.0,0.0,0.0,1.0,,,3.38,1.0,P,,,,,,,,,,,,,,,,,,,,,,,7,OAK,1st,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,66,0,P,0.0,,G,0,,0,0,,0.0,,0,n,0,0,n,0,,0.0,0,G (n-n),0.30434782608695654,X,5.333333333333332,3,4.0,14,7.0,11.0,25,0,0.0,,,0.2857142857142857,+,14.0,44,10.0,53,+X3,(14-25) ,+X3 (14-25)  
Mike Aldrete,25,SFG,NL,84.0,256.0,216.0,27.0,54.0,18.0,3.0,2.0,25.0,1.0,3.0,33.0,34.0,0.25,0.353,0.389,0.742,110.0,84.0,3.0,2.0,4.0,1.0,4.0,37H/9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFG,NL,68.0,56.0,37.0,499.1,354.0,317.0,36.0,1.0,34.0,0.997,4.0,10.0,6.36,5.19,1B-OF,,,,,,,,,,,,,,,,,,,,,,,8,SFG,1st,84,55,84,67,0,0,37,0,0,0,30,0,2,31,0,55,2,1B,0.2976190476190476,,C+,1,11.0,2,3,(13),0.015151515151515154,,5,15,5,10,24,0,,0.0,8,C+11(13) (15-24),,,,,,nan,,,nan,0,0.0,,,,,,nan,,nan,,,
Doyle Alexander,35,TOT,MLB,18.0,45.0,38.0,2.0,8.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.211,0.205,0.237,0.442,19.0,9.0,2.0,0.0,6.0,1.0,0.0,1/H,R,MLB,11.0,10.0,0.524,4.14,34.0,34.0,0.0,5.0,0.0,0.0,228.1,255.0,114.0,105.0,27.0,37.0,2.0,139.0,4.0,0.0,2.0,966.0,99.0,3.63,1.279,10.1,1.1,1.5,5.5,3.76,R,TOT,ZZ,34.0,34.0,5.0,228.1,42.0,14.0,25.0,3.0,2.0,0.929,,,1.54,1.15,P,,,,,,,,,,,,,,,,,,,,,,,9,2TM,16,35,34,18,34,34,0,0,0,0,0,0,0,0,0,0,61,0,P,0.2777777777777778,,C,0,,0,0,,0.0,,0,n,6,6,16,0,,0.0,6,C (n-16),0.2756756756756757,W,228.33333333333331,7,1.0,11,5.0,6.0,16,0,0.0,,,0.10588235294117647,+,11.0,51,10.0,53,+W7,(11-16) ,+W7 (11-16)  
Doyle Alexander,35,ATL,NL,18.0,45.0,38.0,2.0,8.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,0.211,0.205,0.237,0.442,19.0,9.0,2.0,0.0,6.0,1.0,0.0,1/H,R,NL,6.0,6.0,0.5,3.84,17.0,17.0,0.0,2.0,0.0,0.0,117.1,135.0,58.0,50.0,9.0,17.0,1.0,74.0,0.0,0.0,1.0,496.0,103.0,2.94,1.295,10.4,0.7,1.3,5.7,4.35,R,TOT,ZZ,34.0,34.0,5.0,228.1,42.0,14.0,25.0,3.0,2.0,0.929,,,1.54,1.15,P,,,,,,,,,,,,,,,,,,,,,,,9,2TM,16,35,34,18,34,34,0,0,0,0,0,0,0,0,0,0,61,0,P,0.2777777777777778,,C,0,,0,0,,0.0,,0,n,6,6,16,0,,0.0,6,C (n-16),0.2818371607515658,X,117.33333333333331,7,1.0,11,5.0,6.0,16,0,0.0,,,0.06666666666666667,,11.0,51,10.0,53,X7,(11-16) ,X7 (11-16)  
Andy Allanson,24,CLE,AL,101.0,324.0,293.0,30.0,66.0,7.0,3.0,1.0,29.0,10.0,1.0,14.0,36.0,0.225,0.26,0.28,0.539,49.0,82.0,7.0,1.0,11.0,4.0,0.0,2/H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLE,AL,99.0,91.0,77.0,792.2,499.0,446.0,33.0,20.0,4.0,0.96,-10.0,-15.0,5.44,4.84,C,CLE,AL,99.0,91.0,77.0,792.2,499.0,446.0,33.0,20.0,4.0,0.96,-10.0,-15.0,-10.0,5.44,4.84,12.0,32.0,64.0,22.0,26%,10,CLE,1st,101,91,101,99,0,99,0,0,0,0,0,0,0,0,0,56,2,C,0.2871287128712871,,C+,1,11.0,2,3,(13),0.14285714285714285,**,2,12,4,6,16,0,,0.0,7,C+11(13)** (12-16),,,,,,nan,,,nan,0,0.0,,,,,,nan,,nan,,,
