Name,Age,Tm,Lg_bat,G_bat,PA,AB,R_bat,H_bat,2B,3B,HR_bat,RBI,SB,CS,BB_bat,SO_bat,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP_bat,SH,SF,IBB_bat,Pos Summary,Bats,Lg_pit,W,L,W-L%,ERA,G_pit,GS,GF,CG,SHO,SV,IP,H_pit,R_pit,ER,HR_pit,BB_pit,IBB_pit,SO_pit,HBP_pit,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Throws,Tm_fld,Lg,G,GS_fld,CG_fld,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary_fld,Tm_cat,Lg_cat,G_cat,GS_cat,CG_cat,Inn_cat,Ch_cat,PO_cat,A_cat,E_cat,DP_cat,Fld%_cat,Rtot_cat,Rtot/yr_cat,Rctch,RF/9_cat,RF/G_cat,PB,WP_cat,SB_cat,CS_cat,CS%,Rk,Tm_app,Yrs,G_app,GS_app,Batting,Defense,P,C,1B,2B_app,3B_app,SS,LF,CF,RF,OF,DH,PH,PR
Jim Acker,27,TOT,MLB,21,28,28,1,3,1,0,0,0,0,0,0,21,.107,.107,.143,.250,-33,4,0,0,0,0,0,1,R,MLB,5,12,.294,4.01,44,19,9,0,0,0,155.0,163,81,69,13,48,6,69,3,1,5,661,102,3.96,1.361,9.5,0.8,2.8,4.0,1.44,R,TOT,ZZ,44,19,0,155.0,44,16,28,0,4,1.000,,,2.55,1.00,P,,,,,,,,,,,,,,,,,,,,,,,2,2TM,4,44,19,21,44,44,0,0,0,0,0,0,0,0,0,0,0,0
Jim Acker,27,ATL,NL,21,28,28,1,3,1,0,0,0,0,0,0,21,.107,.107,.143,.250,-33,4,0,0,0,0,0,1,R,NL,3,8,.273,3.79,21,14,3,0,0,0,95.0,100,47,40,7,26,3,37,1,0,2,402,105,3.80,1.326,9.5,0.7,2.5,3.5,1.42,R,TOT,ZZ,44,19,0,155.0,44,16,28,0,4,1.000,,,2.55,1.00,P,,,,,,,,,,,,,,,,,,,,,,,2,2TM,4,44,19,21,44,44,0,0,0,0,0,0,0,0,0,0,0,0
Jim Adduci,26,MIL,AL,3,13,11,2,1,1,0,0,0,0,0,1,2,.091,.167,.182,.348,-6,2,0,0,1,0,0,/3,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIL,AL,3,3,3,24.2,28,25,3,0,1,1.000,0,-15,10.22,9.33,1B,,,,,,,,,,,,,,,,,,,,,,,3,MIL,2,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0
Luis Aguayo,27,PHI,NL,62,146,133,17,28,6,1,4,13,1,1,8,26,.211,.267,.361,.628,70,48,3,3,0,2,0,46H/5,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PHI,NL,52,30,22,300.2,152,57,90,5,19,.967,-4,-17,4.40,2.83,2B-SS-3B,,,,,,,,,,,,,,,,,,,,,,,5,PHI,7,62,30,62,49,0,0,0,31,1,20,0,0,0,0,0,16,3
Rick Aguilera,24,NYM,NL,32,57,51,4,8,0,0,2,6,0,0,3,12,.157,.204,.275,.478,32,14,0,0,3,0,0,1/H,R,NL,10,7,.588,3.88,28,20,2,2,0,0,141.2,145,70,61,15,36,1,104,7,3,5,605,93,3.59,1.278,9.2,1.0,2.3,6.6,2.89,R,NYM,NL,28,20,2,141.2,39,13,26,0,1,1.000,,,2.48,1.39,P,,,,,,,,,,,,,,,,,,,,,,,6,NYM,2,32,20,32,28,28,0,0,0,0,0,0,0,0,0,0,4,0
Darrel Akerfelds,24,OAK,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,R,AL,0,0,,6.75,2,0,2,0,0,0,5.1,7,5,4,2,3,1,5,0,0,2,26,61,7.46,1.875,11.8,3.4,5.1,8.4,1.67,R,OAK,AL,2,0,0,5.1,2,1,1,0,0,1.000,,,3.38,1.00,P,,,,,,,,,,,,,,,,,,,,,,,7,OAK,1st,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Mike Aldrete,25,SFG,NL,84,256,216,27,54,18,3,2,25,1,3,33,34,.250,.353,.389,.742,110,84,3,2,4,1,4,37H/9,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFG,NL,68,56,37,499.1,354,317,36,1,34,.997,4,10,6.36,5.19,1B-OF,,,,,,,,,,,,,,,,,,,,,,,8,SFG,1st,84,55,84,67,0,0,37,0,0,0,30,0,2,31,0,20,2
Doyle Alexander,35,TOT,MLB,18,45,38,2,8,1,0,0,5,0,0,0,8,.211,.205,.237,.442,19,9,2,0,6,1,0,1/H,R,MLB,11,10,.524,4.14,34,34,0,5,0,0,228.1,255,114,105,27,37,2,139,4,0,2,966,99,3.63,1.279,10.1,1.1,1.5,5.5,3.76,R,TOT,ZZ,34,34,5,228.1,42,14,25,3,2,.929,,,1.54,1.15,P,,,,,,,,,,,,,,,,,,,,,,,9,2TM,16,35,34,18,34,34,0,0,0,0,0,0,0,0,0,0,1,0
Doyle Alexander,35,ATL,NL,18,45,38,2,8,1,0,0,5,0,0,0,8,.211,.205,.237,.442,19,9,2,0,6,1,0,1/H,R,NL,6,6,.500,3.84,17,17,0,2,0,0,117.1,135,58,50,9,17,1,74,0,0,1,496,103,2.94,1.295,10.4,0.7,1.3,5.7,4.35,R,TOT,ZZ,34,34,5,228.1,42,14,25,3,2,.929,,,1.54,1.15,P,,,,,,,,,,,,,,,,,,,,,,,9,2TM,16,35,34,18,34,34,0,0,0,0,0,0,0,0,0,0,1,0
Andy Allanson,24,CLE,AL,101,324,293,30,66,7,3,1,29,10,1,14,36,.225,.260,.280,.539,49,82,7,1,11,4,0,2/H,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLE,AL,99,91,77,792.2,499,446,33,20,4,.960,-10,-15,5.44,4.84,C,CLE,AL,99,91,77,792.2,499,446,33,20,4,.960,-10,-15,-10,5.44,4.84,12,32,64,22,26%,10,CLE,1st,101,91,101,99,0,99,0,0,0,0,0,0,0,0,0,0,2
Bill Almon,33,PIT,NL,102,230,196,29,43,7,2,7,27,11,4,30,38,.219,.319,.383,.701,92,75,5,0,1,3,2,7H56/39,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,NL,105,41,20,444.0,133,80,45,8,4,.940,-2,-5,2.53,1.19,OF-3B-SS-1B,,,,,,,,,,,,,,,,,,,,,,,12,PIT,13,102,41,102,83,0,0,4,0,28,19,53,0,2,54,0,30,11
Ed Amelung,27,LAD,NL,8,11,11,0,1,0,0,0,0,0,0,0,4,.091,.091,.091,.182,-48,1,1,0,0,0,0,/H89,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAD,NL,4,1,1,16.0,5,5,0,0,0,1.000,1,75,2.81,1.25,OF,,,,,,,,,,,,,,,,,,,,,,,13,LAD,2,8,1,8,4,0,0,0,0,0,0,0,2,2,4,0,4,0
Larry Andersen,33,TOT,NL,48,7,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,0,0,1,R,NL,2,1,.667,3.03,48,0,8,0,0,1,77.1,83,30,26,2,26,10,42,1,0,1,323,121,3.07,1.409,9.7,0.2,3.0,4.9,1.62,R,TOT,NL,48,0,0,77.1,23,10,11,2,3,.913,,,2.44,0.44,P,,,,,,,,,,,,,,,,,,,,,,,14,2TM,9,48,0,48,48,48,0,0,0,0,0,0,0,0,0,0,0,0
Larry Andersen,33,PHI,NL,10,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,1,R,NL,0,0,,4.26,10,0,1,0,0,0,12.2,19,8,6,0,3,0,9,0,0,0,55,94,2.06,1.737,13.5,0.0,2.1,6.4,3.00,R,TOT,NL,48,0,0,77.1,23,10,11,2,3,.913,,,2.44,0.44,P,,,,,,,,,,,,,,,,,,,,,,,14,2TM,9,48,0,48,48,48,0,0,0,0,0,0,0,0,0,0,0,0
Larry Andersen,33,HOU,NL,38,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,R,NL,2,1,.667,2.78,38,0,7,0,0,1,64.2,64,22,20,2,23,10,33,1,0,1,268,129,3.27,1.345,8.9,0.3,3.2,4.6,1.43,R,TOT,NL,48,0,0,77.1,23,10,11,2,3,.913,,,2.44,0.44,P,,,,,,,,,,,,,,,,,,,,,,,14,2TM,9,48,0,48,48,48,0,0,0,0,0,0,0,0,0,0,0,0
